Distancia (pixeles),medicion 1,medicion 2,medicion 3,medicion 4,medicion 5,medicion 6,medicion 7,medicion 8,medicion 9,medicion 10,medicion 11,medicion 12,medicion 13,medicion 14,medicion 15,medicion 16,medicion 17,medicion 18,medicion 19,medicion 20,medicion 21,medicion 22,medicion 23,medicion 24
144,184.667,173.667,97.333,80.667,137.0,62.667,55.667,45.667,136.333,19.333,45.667,24.0,99.0,76.333,46.0,14.0,19.333,22.666999999999998,35.667,19.333,47.333,35.0,11.333,13.667
145,184.667,173.333,92.0,83.0,126.0,63.667,54.333,45.0,155.0,21.0,44.0,24.0,99.667,79.667,23.333000000000002,14.0,15.0,22.666999999999998,37.667,18.0,65.667,33.333,12.667,10.667
146,183.667,173.333,71.667,85.333,130.333,64.333,53.667,45.0,162.333,23.0,45.0,23.333000000000002,105.0,93.667,24.0,15.333,15.667,29.666999999999998,37.667,17.333,79.667,24.333000000000002,13.667,10.667
147,185.0,179.0,73.0,86.0,120.0,59.0,49.667,46.0,155.667,39.333,42.0,24.0,103.0,98.333,27.666999999999998,24.333000000000002,15.667,33.667,37.667,16.333,91.0,18.667,19.667,9.333
148,185.0,181.333,69.0,84.0,95.667,60.333,52.0,48.0,167.0,68.667,38.667,25.0,103.0,104.333,47.667,47.667,15.0,37.333,37.667,16.0,100.333,16.333,28.666999999999998,9.333
149,181.667,179.667,106.667,85.333,75.333,63.0,50.667,46.667,153.0,80.333,29.333000000000002,25.666999999999998,96.667,109.667,64.667,54.667,17.333,36.667,38.0,15.333,102.0,12.667,44.0,9.333
150,180.333,173.667,150.667,84.333,54.667,61.0,53.333,45.0,142.667,93.0,21.666999999999998,25.333000000000002,86.667,107.333,66.0,73.0,28.333000000000002,48.333,33.333,15.0,103.0,12.667,54.667,9.333
151,181.667,174.667,157.667,84.333,63.0,56.333,51.667,44.333,130.0,100.0,20.0,25.0,78.667,102.667,77.333,77.667,34.333,47.667,31.666999999999998,14.0,109.333,12.667,67.0,10.667
152,180.333,179.0,170.333,84.333,77.0,62.333,53.333,44.333,100.667,107.333,19.333,23.333000000000002,72.667,97.333,86.667,94.0,56.333,50.333,25.0,14.0,112.667,12.667,71.0,10.667
153,178.667,181.0,170.667,85.0,124.667,66.0,52.333,45.667,96.667,108.0,19.333,25.0,57.667,92.667,79.0,101.667,67.0,49.0,19.333,14.0,109.667,12.667,79.667,15.0
154,181.0,178.667,149.333,87.0,157.333,66.0,53.333,47.333,67.667,104.667,19.667,22.666999999999998,44.667,81.0,79.667,103.0,90.667,47.333,15.667,14.667,108.333,12.667,87.333,18.667
155,182.333,173.0,108.0,86.0,153.333,64.333,53.0,49.0,61.667,89.333,21.666999999999998,23.0,40.667,62.333,76.667,108.333,88.667,43.667,12.333,15.667,105.333,13.667,99.0,25.0
156,181.0,171.667,57.333,87.333,168.0,64.333,52.333,49.667,61.667,78.0,34.667,23.0,40.0,50.0,77.667,112.0,94.667,40.333,12.333,15.667,104.0,15.0,103.0,27.0
157,178.667,168.333,70.333,89.0,162.333,63.0,49.667,49.667,98.0,65.0,48.667,22.333000000000002,40.0,32.333,67.333,110.0,108.0,32.0,12.333,17.0,98.667,20.333,101.333,33.667
158,178.667,169.333,67.0,87.667,162.333,65.0,46.667,50.333,127.333,53.667,56.333,21.666999999999998,45.333,21.666999999999998,58.0,105.0,113.333,21.0,12.333,17.667,94.0,20.333,102.0,49.333
159,180.667,165.333,175.0,87.0,163.333,66.0,47.0,49.667,119.667,23.333000000000002,66.0,22.666999999999998,47.333,20.0,41.0,100.333,111.0,20.666999999999998,12.667,19.667,87.333,32.0,102.0,55.333
160,180.667,166.667,231.0,84.333,168.333,66.0,47.667,49.0,133.667,19.667,70.0,22.333000000000002,65.333,18.333,20.0,95.667,107.333,16.0,12.667,23.333000000000002,77.0,41.333,103.667,54.667
161,180.333,159.0,229.0,83.667,141.667,68.333,48.667,44.667,129.667,19.667,75.0,24.0,84.0,25.0,16.333,93.0,104.0,14.0,15.333,24.333000000000002,66.0,50.667,108.0,61.667
162,181.667,167.667,225.667,83.0,94.667,66.667,50.0,44.0,138.0,23.0,75.667,24.0,88.667,52.667,16.333,73.667,100.0,13.667,17.0,27.0,57.333,54.667,102.333,65.333
163,181.0,176.333,224.667,82.333,94.333,66.0,47.0,43.333,134.333,49.0,70.0,24.333000000000002,102.667,62.0,16.333,58.0,94.667,13.667,25.0,25.666999999999998,38.667,66.667,97.333,65.667
164,181.0,181.667,221.667,86.0,71.333,67.333,50.667,42.0,130.333,68.333,63.333,29.0,104.0,96.667,16.333,42.0,85.0,14.0,32.667,27.0,30.666999999999998,64.333,92.667,67.0
